document_id,clean_text,sentiment
166,"Poorly made, broke within days.",Negative
167,"It was okay, nothing special.",Neutral
168,"Superb experience, will buy again!",Positive
169,"It was okay, nothing special.",Neutral
170,Worst purchase I've ever made.,Negative
171,"Poorly made, broke within days.",Negative
172,Great value for the price.,Positive
173,Amazing quality and fast delivery!,Positive
174,"Meh, it’s alright, but I expected more.",Neutral
175,"Poorly made, broke within days.",Negative
176,"Item arrived damaged, very frustrating.",Neutral
177,Not worth the price at all.,Neutral
178,"Just average, nothing to rave about.",Neutral
179,Great value for the price.,Positive
180,"Terrible experience, would not buy again.",Negative
181,Worst purchase I've ever made.,Negative
182,"Item arrived damaged, very frustrating.",Neutral
183,Love it! Works perfectly as described.,Positive
184,Worst purchase I've ever made.,Negative
185,"Poorly made, broke within days.",Negative
186,"Completely disappointed, waste of money.",Negative
187,"It was okay, nothing special.",Neutral
188,"Meh, it’s alright, but I expected more.",Neutral
189,Customer support was very helpful.,Neutral
190,Fantastic service and excellent product!,Positive
191,Customer support was very helpful.,Neutral
192,Would not recommend to anyone.,Neutral
193,"Decent, but I've seen better.",Neutral
194,Love it! Works perfectly as described.,Positive
195,"Decent, but I've seen better.",Neutral
196,Not worth the price at all.,Neutral
197,Amazing quality and fast delivery!,Positive
198,Amazing quality and fast delivery!,Positive
199,Amazing quality and fast delivery!,Positive
200,"Decent, but I've seen better.",Neutral
